step,step_num,layer,module,metric,value,module_family,module_role
32,32,4,attention.dense,subspace_stability_topk,0.9978128671646118,Attention,Attention output
32,32,4,attention.query_key_value,subspace_stability_topk,0.9997486472129822,Attention,QKV
32,32,4,mlp.dense_4h_to_h,subspace_stability_topk,0.9994927644729614,MLP,MLP out
32,32,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9997090697288512,MLP,MLP in
32,32,5,attention.dense,subspace_stability_topk,0.9994907379150392,Attention,Attention output
32,32,5,attention.query_key_value,subspace_stability_topk,0.9997413158416748,Attention,QKV
32,32,5,mlp.dense_4h_to_h,subspace_stability_topk,0.999255895614624,MLP,MLP out
32,32,5,mlp.dense_h_to_4h,subspace_stability_topk,0.9997360706329346,MLP,MLP in
32,32,6,attention.dense,subspace_stability_topk,0.9990584254264832,Attention,Attention output
32,32,6,attention.query_key_value,subspace_stability_topk,0.9997611045837402,Attention,QKV
32,32,6,mlp.dense_4h_to_h,subspace_stability_topk,0.998904585838318,MLP,MLP out
32,32,6,mlp.dense_h_to_4h,subspace_stability_topk,0.9997140169143676,MLP,MLP in
32,32,7,attention.dense,subspace_stability_topk,0.9994421005249025,Attention,Attention output
32,32,7,attention.query_key_value,subspace_stability_topk,0.9997450709342957,Attention,QKV
32,32,7,mlp.dense_4h_to_h,subspace_stability_topk,0.9994153380393982,MLP,MLP out
32,32,7,mlp.dense_h_to_4h,subspace_stability_topk,0.9997553825378418,MLP,MLP in
32,32,8,attention.dense,subspace_stability_topk,0.998178482055664,Attention,Attention output
32,32,8,attention.query_key_value,subspace_stability_topk,0.999755859375,Attention,QKV
32,32,8,mlp.dense_4h_to_h,subspace_stability_topk,0.9927876591682434,MLP,MLP out
32,32,8,mlp.dense_h_to_4h,subspace_stability_topk,0.999707579612732,MLP,MLP in
32,32,9,attention.dense,subspace_stability_topk,0.999117374420166,Attention,Attention output
32,32,9,attention.query_key_value,subspace_stability_topk,0.999741792678833,Attention,QKV
32,32,9,mlp.dense_4h_to_h,subspace_stability_topk,0.998302400112152,MLP,MLP out
32,32,9,mlp.dense_h_to_4h,subspace_stability_topk,0.9996546506881714,MLP,MLP in
32,32,10,attention.dense,subspace_stability_topk,0.9986791610717772,Attention,Attention output
32,32,10,attention.query_key_value,subspace_stability_topk,0.9996875524520874,Attention,QKV
32,32,10,mlp.dense_4h_to_h,subspace_stability_topk,0.9980989098548888,MLP,MLP out
32,32,10,mlp.dense_h_to_4h,subspace_stability_topk,0.9996221661567688,MLP,MLP in
32,32,11,attention.dense,subspace_stability_topk,0.9880020022392272,Attention,Attention output
32,32,11,attention.query_key_value,subspace_stability_topk,0.9997234344482422,Attention,QKV
32,32,11,mlp.dense_4h_to_h,subspace_stability_topk,0.996280074119568,MLP,MLP out
32,32,11,mlp.dense_h_to_4h,subspace_stability_topk,0.9996343851089478,MLP,MLP in
64,64,0,attention.dense,subspace_stability_topk,0.9591268301010132,Attention,Attention output
64,64,0,attention.query_key_value,subspace_stability_topk,0.9987421631813048,Attention,QKV
64,64,0,mlp.dense_4h_to_h,subspace_stability_topk,0.982241988182068,MLP,MLP out
64,64,0,mlp.dense_h_to_4h,subspace_stability_topk,0.9990019798278807,MLP,MLP in
64,64,1,attention.dense,subspace_stability_topk,0.9817485213279724,Attention,Attention output
64,64,1,attention.query_key_value,subspace_stability_topk,0.999108076095581,Attention,QKV
64,64,1,mlp.dense_4h_to_h,subspace_stability_topk,0.9538263082504272,MLP,MLP out
64,64,1,mlp.dense_h_to_4h,subspace_stability_topk,0.9992080926895142,MLP,MLP in
64,64,2,attention.dense,subspace_stability_topk,0.9972124695777892,Attention,Attention output
64,64,2,attention.query_key_value,subspace_stability_topk,0.999188244342804,Attention,QKV
64,64,2,mlp.dense_4h_to_h,subspace_stability_topk,0.9191716909408568,MLP,MLP out
64,64,2,mlp.dense_h_to_4h,subspace_stability_topk,0.99857759475708,MLP,MLP in
64,64,3,attention.dense,subspace_stability_topk,0.9962459206581116,Attention,Attention output
64,64,3,attention.query_key_value,subspace_stability_topk,0.9990010261535645,Attention,QKV
64,64,3,mlp.dense_4h_to_h,subspace_stability_topk,0.988040804862976,MLP,MLP out
64,64,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9955887794494628,MLP,MLP in
64,64,4,attention.dense,subspace_stability_topk,0.993524432182312,Attention,Attention output
64,64,4,attention.query_key_value,subspace_stability_topk,0.9983516335487366,Attention,QKV
64,64,4,mlp.dense_4h_to_h,subspace_stability_topk,0.9900697469711304,MLP,MLP out
64,64,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9994494915008544,MLP,MLP in
64,64,5,attention.dense,subspace_stability_topk,0.9987162351608276,Attention,Attention output
